"","row.names.eurhuf.","EURHUF.X.Open","EURHUF.X.High","EURHUF.X.Low","EURHUF.X.Close","EURHUF.X.Volume","EURHUF.X.Adjusted","USDHUF.X.Open","USDHUF.X.High","USDHUF.X.Low","USDHUF.X.Close","USDHUF.X.Volume","USDHUF.X.Adjusted","kinfo_dummy","vm_dummy","nm_dummy","mgy_dummy","alapkamat"
"75","2018-09-12",324.6589966,325.6849976,323.67099,324.6650085,0,324.6650085,279.2550049,280.4840088,276.6400146,279.427002,0,279.427002,0,0,0,0,0
"76","2018-09-13",323.822998,324.9779968,323.019989,323.8469849,0,323.8469849,277.1199951,278.8039856,275.5700073,277.2000122,0,277.2000122,1,0,0,0,0
"77","2018-09-16",324.4450073,325.1789856,324.2810059,324.4660034,0,324.4660034,279.3649902,279.7269897,277.3240051,279.1799927,0,279.1799927,0,0,0,0,0
"78","2018-09-17",324.5180054,325.105011,322.6489868,324.54599,0,324.54599,278.4110107,278.4700012,275.4500122,278.1409912,0,278.1409912,0,0,0,0,0
"79","2018-09-18",323.4110107,323.7799988,322.7489929,323.5509949,0,323.5509949,276.9379883,277.7219849,275.8599854,277.1910095,0,277.1910095,0,0,0,0,0
"80","2018-09-19",322.875,324.1400146,322.8739929,322.8999939,0,322.8999939,276.5899963,276.8460083,274.5799866,276.6000061,0,276.6000061,0,0,0,0,0
"81","2018-09-20",323.1170044,324.1889954,323.0119934,323.1080017,0,323.1080017,274.6459961,276.196991,273.8789978,274.4899902,0,274.4899902,0,0,0,0,0
"82","2018-09-23",323.9159851,324.2200012,323.3070068,323.8880005,0,323.8880005,275.7529907,276.446991,273.7000122,275.6499939,0,275.6499939,0,0,0,0,0
"83","2018-09-24",323.1820068,324.3859863,323.1589966,323.1860046,0,323.1860046,275.1889954,276.144989,274.4299927,275.196991,0,275.196991,0,0,0,0,0
"84","2018-09-25",323.7709961,324.0929871,323.3599854,323.8659973,0,323.8659973,275.3599854,276.1119995,274.6000061,275.5020142,0,275.5020142,0,0,0,0,0
"85","2018-09-26",323.197998,323.7390137,323.0799866,323.1910095,0,323.1910095,275.3399963,277.5010071,274.9169922,275.1099854,0,275.1099854,0,0,0,0,0
"86","2018-09-27",323.2919922,324.5140076,323.144989,323.2909851,0,323.2909851,277.8349915,280.5169983,277.5499878,277.8200073,0,277.8200073,1,0,0,0,0
"87","2018-09-30",322.9339905,323.730011,322.6149902,322.9389954,0,322.9389954,278.3999939,279.7109985,277.6799927,278.5360107,0,278.5360107,0,0,0,0,0
"88","2018-10-01",322.7669983,323.9760132,322.75,323.0010071,0,323.0010071,278.8009949,281.5169983,278.7630005,278.7900085,0,278.7900085,0,0,0,0,0
"89","2018-10-02",322.6759949,323.1579895,322.0570068,322.79599,0,322.79599,279.375,279.9869995,277.9200134,279.3500061,0,279.3500061,0,0,0,0,0
"90","2018-10-03",322.553009,324.6629944,322.5180054,322.7099915,0,322.7099915,281.2569885,282.4970093,280.8299866,281.1700134,0,281.1700134,0,0,0,0,0
"91","2018-10-04",323.947998,325.1459961,323.8859863,323.9930115,0,323.9930115,281.2850037,282.9559937,280.8829956,281.4100037,0,281.4100037,0,0,0,0,0
"92","2018-10-07",324.3729858,325.5020142,324.3699951,324.3739929,0,324.3739929,281.4960022,283.7120056,281.4960022,281.6199951,0,281.6199951,0,0,0,0,0
"93","2018-10-08",325.0589905,325.6260071,324.1499939,325.1940002,0,325.1940002,282.8099976,284.6459961,282.0400085,282.730011,0,282.730011,0,0,0,0,0
"94","2018-10-09",324.2860107,325.4559937,324.17099,324.3800049,0,324.3800049,281.9070129,283.0280151,281.6000061,282.0480042,0,282.0480042,0,0,0,0,0
"95","2018-10-10",325.3340149,325.7139893,324.2929993,325.3919983,0,325.3919983,282.1289978,282.3089905,279.7099915,282.3500061,0,282.3500061,0,0,0,0,0
"96","2018-10-11",324.9400024,325.151001,323.8200073,325.0409851,0,325.0409851,280.3670044,281.2070007,279.5799866,280.45401,0,280.45401,0,0,0,0,0
"97","2018-10-14",323.9429932,324.2359924,322.2080078,323.9219971,0,323.9219971,280.6870117,280.8160095,277.9599915,280.6679993,0,280.6679993,0,0,0,0,0
"98","2018-10-15",322.3299866,322.6619873,321.5889893,322.3529968,0,322.3529968,278.2879944,278.9089966,276.8699951,278.4100037,0,278.4100037,0,0,0,0,0
"99","2018-10-16",321.5,322.625,321.4519958,321.4960022,0,321.4960022,277.8930054,279.8460083,277.6400146,277.7640076,0,277.7640076,0,0,0,0,0
"100","2018-10-17",321.7019958,323.3380127,321.6839905,321.7059937,0,321.7059937,279.8299866,281.4599915,279.019989,279.8599854,0,279.8599854,1,0,0,0,0
"101","2018-10-18",322.848999,323.7030029,322.8320007,322.8510132,0,322.8510132,281.8559875,283.0969849,280.6000061,281.8720093,0,281.8720093,0,0,0,0,0
"102","2018-10-21",322.6619873,323.1080017,322.4049988,322.6520081,0,322.6520081,280.2999878,281.5700073,279.1910095,280.355011,0,280.355011,0,0,0,0,0
"103","2018-10-22",322.506012,323.3160095,322.4200134,322.5109863,0,322.5109863,281.3599854,282.3359985,280.6570129,281.3250122,0,281.3250122,0,0,0,0,0
"104","2018-10-23",322.2569885,323.2900085,322.2099915,322.5299988,0,322.5299988,281.0679932,283.802002,280.8150024,281.1180115,0,281.1180115,0,0,0,0,0
"105","2018-10-24",323.3500061,324.1530151,323.243988,323.3670044,0,323.3670044,283.7900085,284.901001,283.0400085,283.7999878,0,283.7999878,0,0,0,0,0
"106","2018-10-25",323.82901,324.4159851,323.6329956,323.8380127,0,323.8380127,284.7019958,286.1130066,284.0100098,284.7000122,0,284.7000122,1,0,0,0,0
"107","2018-10-29",323.8370056,324.6440125,323.8200073,323.7839966,0,323.7839966,284.1170044,285.4289856,283.769989,284.072998,0,284.072998,0,0,0,0,0
"108","2018-10-30",324.381012,324.8800049,324.2489929,324.3779907,0,324.3779907,285.1889954,286.131012,284.8999939,285.1549988,0,285.1549988,0,0,0,0,0
"109","2018-10-31",324.2780151,325.2900085,324.269989,324.25,0,324.25,285.8280029,287.4370117,285.4700012,285.7940063,0,285.7940063,0,0,0,0,0
"110","2018-11-01",324.3410034,324.4219971,321.8330078,324.3479919,0,324.3479919,286.6919861,286.7999878,281.9500122,286.6279907,0,286.6279907,0,0,0,0,0
"111","2018-11-02",322.5280151,322.9100037,320.8320007,322.5339966,0,322.5339966,282.9599915,283.3500061,280.6199951,282.9700012,0,282.9700012,0,0,0,0,0
"112","2018-11-05",321.269989,322.5329895,321.0780029,321.2430115,0,321.2430115,282,283.855011,281.8150024,281.9700012,0,281.9700012,0,0,0,0,0
"113","2018-11-06",321.6400146,322.1600037,321.5280151,321.8659973,0,321.8659973,282.0499878,282.6940002,281.321991,281.9230042,0,281.9230042,0,0,0,0,0
"114","2018-11-07",321.5429993,321.8009949,321.2890015,321.5249939,0,321.5249939,281.1300049,282.3099976,279.4500122,281.1170044,0,281.1170044,0,1,0,0,0
"115","2018-11-08",321.0480042,321.6340027,320.7260132,321.0440063,0,321.0440063,280.9200134,281.946991,280.4060059,280.7969971,0,280.7969971,0,0,0,0,0
"116","2018-11-09",320.6419983,321.4530029,320.6130066,320.6289978,0,320.6289978,282.0589905,283.7929993,282.0589905,282.053009,0,282.053009,0,0,0,0,0
"117","2018-11-12",321.2219849,322.0350037,321.1480103,321.2219849,0,321.2219849,283.769989,286.3699951,283.5109863,283.6749878,0,283.6749878,0,0,0,0,0
"118","2018-11-13",322.0490112,323.4649963,321.894989,322.0660095,0,322.0660095,287.0499878,287.5780029,285.8500061,287.0700073,0,287.0700073,0,0,0,0,0
"119","2018-11-14",322.6270142,323.0740051,322.2210083,322.5629883,0,322.5629883,285.1669922,286.5669861,284.1749878,285.2999878,0,285.2999878,0,0,0,0,0
"120","2018-11-15",322.1119995,322.7279968,321.5880127,322.0840149,0,322.0840149,284.7319946,286.2279968,283.5899963,284.9599915,0,284.9599915,0,1,0,0,0
